Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Resumed from /workspace/curriculum_p1.zip
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 108      |
|    ep_rew_mean     | 0.919    |
| time/              |          |
|    fps             | 91       |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 60416    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | 0.92         |
| time/                   |              |
|    fps                  | 93           |
|    iterations           | 2            |
|    time_elapsed         | 5            |
|    total_timesteps      | 60672        |
| train/                  |              |
|    approx_kl            | 0.0033708527 |
|    clip_fraction        | 0.027        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.65        |
|    explained_variance   | 0.0308       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0113      |
|    n_updates            | 2360         |
|    policy_gradient_loss | -0.00166     |
|    std                  | 0.912        |
|    value_loss           | 0.00253      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.92        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 3           |
|    time_elapsed         | 8           |
|    total_timesteps      | 60928       |
| train/                  |             |
|    approx_kl            | 0.003213654 |
|    clip_fraction        | 0.0535      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | 0.0078      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0315     |
|    n_updates            | 2370        |
|    policy_gradient_loss | -0.00407    |
|    std                  | 0.917       |
|    value_loss           | 0.00296     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.919       |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 4           |
|    time_elapsed         | 10          |
|    total_timesteps      | 61184       |
| train/                  |             |
|    approx_kl            | 0.005886697 |
|    clip_fraction        | 0.0605      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.0077      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0409     |
|    n_updates            | 2380        |
|    policy_gradient_loss | -0.00564    |
|    std                  | 0.92        |
|    value_loss           | 0.00307     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | 1.13        |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 5           |
|    time_elapsed         | 13          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.004477359 |
|    clip_fraction        | 0.0195      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.0016      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0394     |
|    n_updates            | 2390        |
|    policy_gradient_loss | -0.000973   |
|    std                  | 0.919       |
|    value_loss           | 0.00287     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | 1.13        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 6           |
|    time_elapsed         | 16          |
|    total_timesteps      | 61696       |
| train/                  |             |
|    approx_kl            | 0.009131213 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.000225    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.045      |
|    n_updates            | 2400        |
|    policy_gradient_loss | -0.00971    |
|    std                  | 0.918       |
|    value_loss           | 1.72        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 107          |
|    ep_rew_mean          | 1.13         |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 7            |
|    time_elapsed         | 18           |
|    total_timesteps      | 61952        |
| train/                  |              |
|    approx_kl            | 0.0046947105 |
|    clip_fraction        | 0.075        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.00623      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0145      |
|    n_updates            | 2410         |
|    policy_gradient_loss | -0.00379     |
|    std                  | 0.916        |
|    value_loss           | 0.00298      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | 0.919        |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 8            |
|    time_elapsed         | 21           |
|    total_timesteps      | 62208        |
| train/                  |              |
|    approx_kl            | 0.0031814533 |
|    clip_fraction        | 0.00195      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | -0.0368      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0186      |
|    n_updates            | 2420         |
|    policy_gradient_loss | -0.000204    |
|    std                  | 0.916        |
|    value_loss           | 0.00296      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | 0.921        |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 9            |
|    time_elapsed         | 24           |
|    total_timesteps      | 62464        |
| train/                  |              |
|    approx_kl            | 0.0044898773 |
|    clip_fraction        | 0.0176       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | 0.0191       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0387      |
|    n_updates            | 2430         |
|    policy_gradient_loss | -0.00156     |
|    std                  | 0.917        |
|    value_loss           | 0.00302      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.918       |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 10          |
|    time_elapsed         | 26          |
|    total_timesteps      | 62720       |
| train/                  |             |
|    approx_kl            | 0.005877175 |
|    clip_fraction        | 0.0691      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | -0.0219     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0385     |
|    n_updates            | 2440        |
|    policy_gradient_loss | -0.00435    |
|    std                  | 0.918       |
|    value_loss           | 0.00299     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 106          |
|    ep_rew_mean          | 1.34         |
| time/                   |              |
|    fps                  | 93           |
|    iterations           | 11           |
|    time_elapsed         | 30           |
|    total_timesteps      | 62976        |
| train/                  |              |
|    approx_kl            | 0.0055155563 |
|    clip_fraction        | 0.0953       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.00446     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0362      |
|    n_updates            | 2450         |
|    policy_gradient_loss | -0.00918     |
|    std                  | 0.916        |
|    value_loss           | 0.00309      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 106          |
|    ep_rew_mean          | 1.34         |
| time/                   |              |
|    fps                  | 93           |
|    iterations           | 12           |
|    time_elapsed         | 32           |
|    total_timesteps      | 63232        |
| train/                  |              |
|    approx_kl            | 0.0076996796 |
|    clip_fraction        | 0.101        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | 6.53e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0365      |
|    n_updates            | 2460         |
|    policy_gradient_loss | -0.00497     |
|    std                  | 0.915        |
|    value_loss           | 3.43         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 107          |
|    ep_rew_mean          | 1.13         |
| time/                   |              |
|    fps                  | 93           |
|    iterations           | 13           |
|    time_elapsed         | 35           |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0042078313 |
|    clip_fraction        | 0.0301       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | -0.022       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0311      |
|    n_updates            | 2470         |
