Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Resumed from /workspace/curriculum_p2.zip
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 106      |
|    ep_rew_mean     | 1.56     |
| time/              |          |
|    fps             | 91       |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 120576   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 106          |
|    ep_rew_mean          | 1.56         |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 2            |
|    time_elapsed         | 5            |
|    total_timesteps      | 120832       |
| train/                  |              |
|    approx_kl            | 0.0055700736 |
|    clip_fraction        | 0.066        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.61        |
|    explained_variance   | 0.00597      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0356      |
|    n_updates            | 4710         |
|    policy_gradient_loss | -0.00285     |
|    std                  | 0.894        |
|    value_loss           | 0.00534      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | 1.34        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 3           |
|    time_elapsed         | 8           |
|    total_timesteps      | 121088      |
| train/                  |             |
|    approx_kl            | 0.008905118 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.61       |
|    explained_variance   | 0.00223     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0192     |
|    n_updates            | 4720        |
|    policy_gradient_loss | -0.00815    |
|    std                  | 0.897       |
|    value_loss           | 0.0116      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 107        |
|    ep_rew_mean          | 1.34       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 4          |
|    time_elapsed         | 10         |
|    total_timesteps      | 121344     |
| train/                  |            |
|    approx_kl            | 0.00565077 |
|    clip_fraction        | 0.0848     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.62      |
|    explained_variance   | 0.00123    |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0359    |
|    n_updates            | 4730       |
|    policy_gradient_loss | -0.00774   |
|    std                  | 0.902      |
|    value_loss           | 0.00905    |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | 1.13         |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 5            |
|    time_elapsed         | 13           |
|    total_timesteps      | 121600       |
| train/                  |              |
|    approx_kl            | 0.0050665196 |
|    clip_fraction        | 0.0207       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.63        |
|    explained_variance   | 0.0058       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0281      |
|    n_updates            | 4740         |
|    policy_gradient_loss | -0.00291     |
|    std                  | 0.905        |
|    value_loss           | 0.00715      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 1.14        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 6           |
|    time_elapsed         | 15          |
|    total_timesteps      | 121856      |
| train/                  |             |
|    approx_kl            | 0.009870456 |
|    clip_fraction        | 0.0809      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.64       |
|    explained_variance   | -0.000167   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0454     |
|    n_updates            | 4750        |
|    policy_gradient_loss | -0.00656    |
|    std                  | 0.907       |
|    value_loss           | 0.00434     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | 1.16         |
| time/                   |              |
|    fps                  | 97           |
|    iterations           | 7            |
|    time_elapsed         | 18           |
|    total_timesteps      | 122112       |
| train/                  |              |
|    approx_kl            | 0.0048779603 |
|    clip_fraction        | 0.00586      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.64        |
|    explained_variance   | 0.0118       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0564      |
|    n_updates            | 4760         |
|    policy_gradient_loss | -0.001       |
|    std                  | 0.91         |
|    value_loss           | 0.00406      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.966        |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 8            |
|    time_elapsed         | 21           |
|    total_timesteps      | 122368       |
| train/                  |              |
|    approx_kl            | 0.0061168596 |
|    clip_fraction        | 0.0965       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.65        |
|    explained_variance   | 0.00382      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0177      |
|    n_updates            | 4770         |
|    policy_gradient_loss | -0.0078      |
|    std                  | 0.911        |
|    value_loss           | 0.00484      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.964        |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 9            |
|    time_elapsed         | 23           |
|    total_timesteps      | 122624       |
| train/                  |              |
|    approx_kl            | 0.0068940083 |
|    clip_fraction        | 0.12         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.65        |
|    explained_variance   | -0.0173      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.033       |
|    n_updates            | 4780         |
|    policy_gradient_loss | -0.0127      |
|    std                  | 0.914        |
|    value_loss           | 0.00637      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.952        |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 10           |
|    time_elapsed         | 26           |
|    total_timesteps      | 122880       |
| train/                  |              |
|    approx_kl            | 0.0067623435 |
|    clip_fraction        | 0.0934       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | 0.00333      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.04        |
|    n_updates            | 4790         |
|    policy_gradient_loss | -0.00629     |
|    std                  | 0.915        |
|    value_loss           | 0.00375      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | 0.959       |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 11          |
|    time_elapsed         | 29          |
|    total_timesteps      | 123136      |
| train/                  |             |
|    approx_kl            | 0.005588456 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | 0.0068      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0521     |
|    n_updates            | 4800        |
|    policy_gradient_loss | -0.0109     |
|    std                  | 0.918       |
|    value_loss           | 0.00597     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.98         |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 12           |
|    time_elapsed         | 31           |
|    total_timesteps      | 123392       |
| train/                  |              |
|    approx_kl            | 0.0014753842 |
|    clip_fraction        | 0.0195       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.0309      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0389      |
|    n_updates            | 4810         |
|    policy_gradient_loss | -0.00105     |
|    std                  | 0.917        |
|    value_loss           | 0.00304      |
------------------------------------------
----------------------------------------
| rollout/                |            |
