Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 120      |
|    ep_rew_mean     | -1.2     |
| time/              |          |
|    fps             | 47       |
|    iterations      | 1        |
|    time_elapsed    | 5        |
|    total_timesteps | 256      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 2            |
|    time_elapsed         | 10           |
|    total_timesteps      | 512          |
| train/                  |              |
|    approx_kl            | 0.0036425397 |
|    clip_fraction        | 0.0168       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.238        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0237      |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00245     |
|    std                  | 0.996        |
|    value_loss           | 0.00932      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 3           |
|    time_elapsed         | 16          |
|    total_timesteps      | 768         |
| train/                  |             |
|    approx_kl            | 0.006858625 |
|    clip_fraction        | 0.0371      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.176       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.024      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00339    |
|    std                  | 0.995       |
|    value_loss           | 0.00687     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 4            |
|    time_elapsed         | 21           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0058465214 |
|    clip_fraction        | 0.0238       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0328       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0276      |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0024      |
|    std                  | 0.999        |
|    value_loss           | 0.00472      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 5            |
