Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Resumed from /workspace/curriculum_p2.zip
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 106      |
|    ep_rew_mean     | 1.56     |
| time/              |          |
|    fps             | 90       |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 120576   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 106          |
|    ep_rew_mean          | 1.57         |
| time/                   |              |
|    fps                  | 92           |
|    iterations           | 2            |
|    time_elapsed         | 5            |
|    total_timesteps      | 120832       |
| train/                  |              |
|    approx_kl            | 0.0053703636 |
|    clip_fraction        | 0.0664       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.61        |
|    explained_variance   | 0.00621      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0356      |
|    n_updates            | 4710         |
|    policy_gradient_loss | -0.00257     |
|    std                  | 0.894        |
|    value_loss           | 0.00488      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 107          |
|    ep_rew_mean          | 1.35         |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 3            |
|    time_elapsed         | 8            |
|    total_timesteps      | 121088       |
| train/                  |              |
|    approx_kl            | 0.0066079926 |
|    clip_fraction        | 0.077        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.62        |
|    explained_variance   | 0.00338      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0266      |
|    n_updates            | 4720         |
|    policy_gradient_loss | -0.00686     |
|    std                  | 0.9          |
|    value_loss           | 0.00943      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 107          |
|    ep_rew_mean          | 1.34         |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 4            |
|    time_elapsed         | 10           |
|    total_timesteps      | 121344       |
| train/                  |              |
|    approx_kl            | 0.0062471037 |
|    clip_fraction        | 0.0906       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.63        |
|    explained_variance   | 0.00253      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.039       |
|    n_updates            | 4730         |
|    policy_gradient_loss | -0.00829     |
|    std                  | 0.906        |
|    value_loss           | 0.0082       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 1.13        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 5           |
|    time_elapsed         | 13          |
|    total_timesteps      | 121600      |
| train/                  |             |
|    approx_kl            | 0.004079705 |
|    clip_fraction        | 0.0187      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.64       |
|    explained_variance   | 0.00869     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0253     |
|    n_updates            | 4740        |
|    policy_gradient_loss | -0.00226    |
|    std                  | 0.91        |
|    value_loss           | 0.00654     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 1.12        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 6           |
|    time_elapsed         | 15          |
|    total_timesteps      | 121856      |
| train/                  |             |
|    approx_kl            | 0.005514737 |
|    clip_fraction        | 0.0586      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.65       |
|    explained_variance   | -0.00113    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.034      |
|    n_updates            | 4750        |
|    policy_gradient_loss | -0.00473    |
|    std                  | 0.912       |
|    value_loss           | 0.00574     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | 1.13         |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 7            |
|    time_elapsed         | 18           |
|    total_timesteps      | 122112       |
| train/                  |              |
|    approx_kl            | 0.0026315956 |
|    clip_fraction        | 0.0383       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | -0.00348     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0199      |
|    n_updates            | 4760         |
|    policy_gradient_loss | -0.00236     |
|    std                  | 0.915        |
|    value_loss           | 0.00311      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.93         |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 8            |
|    time_elapsed         | 21           |
|    total_timesteps      | 122368       |
| train/                  |              |
|    approx_kl            | 0.0045362823 |
|    clip_fraction        | 0.0551       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | 0.00583      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0282      |
|    n_updates            | 4770         |
|    policy_gradient_loss | -0.00504     |
|    std                  | 0.918        |
|    value_loss           | 0.00423      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | 0.946       |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 9           |
|    time_elapsed         | 23          |
|    total_timesteps      | 122624      |
| train/                  |             |
|    approx_kl            | 0.006347915 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | -0.00816    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0519     |
|    n_updates            | 4780        |
|    policy_gradient_loss | -0.0128     |
|    std                  | 0.916       |
|    value_loss           | 0.00896     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.955        |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 10           |
|    time_elapsed         | 26           |
|    total_timesteps      | 122880       |
| train/                  |              |
|    approx_kl            | 0.0024956046 |
|    clip_fraction        | 0.0234       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.66        |
|    explained_variance   | -0.00492     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0251      |
|    n_updates            | 4790         |
|    policy_gradient_loss | -0.00272     |
|    std                  | 0.918        |
|    value_loss           | 0.00156      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | 0.96        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 11          |
|    time_elapsed         | 29          |
|    total_timesteps      | 123136      |
| train/                  |             |
|    approx_kl            | 0.008253278 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | -0.00986    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0399     |
|    n_updates            | 4800        |
|    policy_gradient_loss | -0.0143     |
|    std                  | 0.923       |
|    value_loss           | 0.00178     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.963        |
| time/                   |              |
|    fps                  | 96           |
|    iterations           | 12           |
|    time_elapsed         | 31           |
|    total_timesteps      | 123392       |
| train/                  |              |
|    approx_kl            | 0.0050443467 |
|    clip_fraction        | 0.0375       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.68        |
|    explained_variance   | 0.00372      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0109      |
|    n_updates            | 4810         |
|    policy_gradient_loss | -0.00425     |
|    std                  | 0.921        |
|    value_loss           | 0.00506      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
