Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 120      |
|    ep_rew_mean     | -0.841   |
| time/              |          |
|    fps             | 638      |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 256      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.12       |
| time/                   |             |
|    fps                  | 590         |
|    iterations           | 2           |
|    time_elapsed         | 0           |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.005209951 |
|    clip_fraction        | 0.0469      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.308       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0291     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00402    |
|    std                  | 1           |
|    value_loss           | 0.00549     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.06       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 3           |
|    time_elapsed         | 1           |
|    total_timesteps      | 768         |
| train/                  |             |
|    approx_kl            | 0.010500845 |
|    clip_fraction        | 0.0832      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.107       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0261     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00705    |
|    std                  | 1           |
|    value_loss           | 0.0127      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.02        |
| time/                   |              |
|    fps                  | 556          |
|    iterations           | 4            |
|    time_elapsed         | 1            |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0020940038 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.237       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0164      |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000398    |
|    std                  | 1            |
|    value_loss           | 0.00547      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.11       |
| time/                   |             |
|    fps                  | 563         |
|    iterations           | 5           |
|    time_elapsed         | 2           |
|    total_timesteps      | 1280        |
| train/                  |             |
|    approx_kl            | 0.012708654 |
|    clip_fraction        | 0.0891      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | -0.0498     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0388     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00754    |
|    std                  | 1.01        |
|    value_loss           | 0.00369     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.18       |
| time/                   |             |
|    fps                  | 568         |
|    iterations           | 6           |
|    time_elapsed         | 2           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.006598916 |
|    clip_fraction        | 0.0461      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | 0.125       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0526     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00455    |
|    std                  | 1.01        |
|    value_loss           | 0.0074      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.16       |
| time/                   |             |
|    fps                  | 570         |
|    iterations           | 7           |
|    time_elapsed         | 3           |
|    total_timesteps      | 1792        |
| train/                  |             |
|    approx_kl            | 0.006851138 |
|    clip_fraction        | 0.0363      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | 0.269       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0412     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00443    |
|    std                  | 1           |
|    value_loss           | 0.00601     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.19       |
| time/                   |             |
|    fps                  | 569         |
|    iterations           | 8           |
|    time_elapsed         | 3           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.005981192 |
|    clip_fraction        | 0.043       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | -0.126      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0421     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00587    |
|    std                  | 0.999       |
|    value_loss           | 0.00382     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.18        |
| time/                   |              |
|    fps                  | 568          |
|    iterations           | 9            |
|    time_elapsed         | 4            |
|    total_timesteps      | 2304         |
| train/                  |              |
|    approx_kl            | 0.0054013226 |
|    clip_fraction        | 0.0867       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.151        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0672      |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.012       |
|    std                  | 0.995        |
|    value_loss           | 0.00363      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.15       |
| time/                   |             |
|    fps                  | 570         |
|    iterations           | 10          |
|    time_elapsed         | 4           |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.007374873 |
|    clip_fraction        | 0.0414      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.0165      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0411     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00384    |
|    std                  | 0.994       |
|    value_loss           | 0.00238     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 120        |
|    ep_rew_mean          | -1.16      |
| time/                   |            |
|    fps                  | 568        |
|    iterations           | 11         |
|    time_elapsed         | 4          |
|    total_timesteps      | 2816       |
| train/                  |            |
|    approx_kl            | 0.00793721 |
|    clip_fraction        | 0.135      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.82      |
|    explained_variance   | 0.0619     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0524    |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0161    |
|    std                  | 0.988      |
|    value_loss           | 0.00232    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.17       |
| time/                   |             |
|    fps                  | 570         |
|    iterations           | 12          |
|    time_elapsed         | 5           |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.005909014 |
|    clip_fraction        | 0.0109      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | -0.0942     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0435     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00122    |
|    std                  | 0.989       |
|    value_loss           | 0.00589     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.17        |
| time/                   |              |
|    fps                  | 568          |
|    iterations           | 13           |
|    time_elapsed         | 5            |
|    total_timesteps      | 3328         |
| train/                  |              |
|    approx_kl            | 0.0043202797 |
|    clip_fraction        | 0.00625      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.177        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0128      |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.000627    |
|    std                  | 0.989        |
|    value_loss           | 0.00459      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.18       |
| time/                   |             |
|    fps                  | 568         |
|    iterations           | 14          |
|    time_elapsed         | 6           |
|    total_timesteps      | 3584        |
| train/                  |             |
|    approx_kl            | 0.007819167 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | -0.0578     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0517     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.01       |
|    std                  | 0.99        |
|    value_loss           | 0.00306     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.17       |
| time/                   |             |
|    fps                  | 563         |
|    iterations           | 15          |
|    time_elapsed         | 6           |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.003974283 |
|    clip_fraction        | 0.068       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | -0.0331     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0374     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00435    |
|    std                  | 0.996       |
|    value_loss           | 0.00405     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.18        |
| time/                   |              |
|    fps                  | 563          |
|    iterations           | 16           |
|    time_elapsed         | 7            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0101255225 |
|    clip_fraction        | 0.0699       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0324       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0705      |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00572     |
|    std                  | 0.993        |
|    value_loss           | 0.00219      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.18        |
| time/                   |              |
|    fps                  | 563          |
|    iterations           | 17           |
|    time_elapsed         | 7            |
|    total_timesteps      | 4352         |
| train/                  |              |
|    approx_kl            | 0.0053369133 |
|    clip_fraction        | 0.041        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.241        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0367      |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00318     |
|    std                  | 0.992        |
|    value_loss           | 0.00385      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.18       |
| time/                   |             |
|    fps                  | 561         |
|    iterations           | 18          |
|    time_elapsed         | 8           |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.006181051 |
|    clip_fraction        | 0.0172      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | -0.245      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.033      |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.000909   |
|    std                  | 0.994       |
|    value_loss           | 0.00512     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.19       |
| time/                   |             |
|    fps                  | 559         |
|    iterations           | 19          |
|    time_elapsed         | 8           |
|    total_timesteps      | 4864        |
| train/                  |             |
|    approx_kl            | 0.004731099 |
|    clip_fraction        | 0.043       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | -0.291      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.016      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00511    |
|    std                  | 0.993       |
|    value_loss           | 0.00371     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.19       |
| time/                   |             |
|    fps                  | 558         |
|    iterations           | 20          |
|    time_elapsed         | 9           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.006811698 |
|    clip_fraction        | 0.0441      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | -0.35       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0331     |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00458    |
|    std                  | 0.987       |
|    value_loss           | 0.00241     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 561          |
|    iterations           | 21           |
|    time_elapsed         | 9            |
|    total_timesteps      | 5376         |
| train/                  |              |
|    approx_kl            | 0.0062337625 |
|    clip_fraction        | 0.0953       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | -0.0555      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0266      |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00713     |
|    std                  | 0.986        |
|    value_loss           | 0.00352      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.19       |
| time/                   |             |
|    fps                  | 563         |
|    iterations           | 22          |
|    time_elapsed         | 9           |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.008023063 |
|    clip_fraction        | 0.0754      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | -0.0713     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0237     |
